JobRole,CategoryLabel,Skills,JobDescription
Software Engineering,technology_engineering,"problem solving; analytical thinking; data structures; algorithms; object oriented programming; functional programming; system design; python; java; c++; git; unit testing; integration testing; API development; REST; microservices; design patterns; refactoring; code review; SDLC; agile; debugging; logging; performance optimization; basic cloud concepts","Designs, implements, and maintains software systems that meet functional and non functional requirements. Works through the full software development life cycle including requirements analysis, design, coding, testing, deployment, and maintenance. Applies best practices in code quality, testing, and documentation to keep systems stable and extensible. Collaborates with other engineers, product managers, and stakeholders to deliver features on time. Continuously improves performance, security, and reliability of applications."
Full-Stack Development,technology_engineering,"html; css; javascript; typescript; react; angular; vue; node.js; express.js; python; django; flask; java; spring boot; sql; postgresql; mysql; nosql; mongodb; rest APIs; graphql; authentication; authorization; jwt; docker; CI/CD; responsive design; browser devtools; testing frameworks","Builds and maintains both frontend and backend parts of web applications. Implements interactive user interfaces, handles server side logic, and manages data storage and retrieval. Integrates authentication, security, and third party services to create complete end to end solutions. Troubleshoots issues across the stack, from browser behavior to database performance. Works closely with designers, product managers, and other engineers to ship user centric features."
Frontend Development,technology_engineering,"html5; css3; javascript; typescript; react; next.js; vue; angular; responsive design; flexbox; grid; web accessibility; a11y; cross browser compatibility; webpack; vite; npm; UI component libraries; state management; redux; REST API integration; Figma; design handoff; lighthouse; performance tuning; testing libraries","Develops user facing web interfaces that are fast, accessible, and responsive. Translates design mockups into reusable components and layout systems. Ensures consistent look and feel across devices and browsers while optimizing performance and load times. Integrates with backend APIs to display and update data. Collaborates with designers and backend developers to deliver high quality user experiences and continuously iterates based on feedback."
Backend Development,technology_engineering,"python; java; node.js; golang; c#; sql; postgresql; mysql; oracle; nosql; mongodb; redis; api design; REST; graphql; microservices; authentication; authorization; oauth2; JWT; message queues; kafka; rabbitmq; caching; scalability; fault tolerance; logging; unit testing; integration testing; cloud deployment","Implements server side logic, APIs, and data processing pipelines that power applications. Designs database schemas and optimizes queries to ensure data integrity and performance. Builds secure and scalable services using techniques like caching, load balancing, and asynchronous processing. Integrates with internal and external systems via APIs and messaging. Works with DevOps and frontend teams to deliver reliable and maintainable backend architectures."
Mobile App Development,technology_engineering,"kotlin; java; android sdk; swift; objective c; iOS sdk; flutter; react native; mobile UI patterns; material design; human interface guidelines; offline storage; sqlite; REST API integration; push notifications; mobile security; performance profiling; crash analysis; app store deployment; play console; testflight; unit testing; ui testing","Designs and builds mobile applications for Android, iOS, or cross platform frameworks. Implements intuitive user interfaces, navigation flows, and interactions optimized for small screens and touch input. Integrates apps with backend services, local storage, and device capabilities such as camera, location, and sensors. Monitors performance and stability, fixing crashes and optimizing resource usage. Manages app releases, updates, and store compliance while responding to user feedback."
Cloud Engineering,technology_engineering,"aws; azure; gcp; compute services; ec2; app service; kubernetes engine; storage services; s3; blob storage; networking; VPC; load balancers; IAM; identity and access management; terraform; infrastructure as code; ansible; CI/CD; monitoring; cloudwatch; application insights; autoscaling; high availability; disaster recovery; cost optimization; security best practices","Designs and manages cloud infrastructure to host scalable, secure, and resilient applications. Provisions and configures compute, storage, and networking resources using automation and infrastructure as code. Implements monitoring, logging, and alerting to maintain service health and reliability. Works with development teams to create efficient deployment pipelines and environment strategies. Continuously tunes architecture for performance, security, and cost effectiveness."
DevOps / Site Reliability Engineering,technology_engineering,"CI/CD pipelines; jenkins; github actions; gitlab ci; docker; containers; kubernetes; helm; linux administration; bash scripting; python scripting; infrastructure as code; terraform; configuration management; ansible; monitoring; prometheus; grafana; logging; ELK stack; incident response; on call; reliability engineering; SLO; SLA; error budgets; automation","Builds and maintains automated pipelines to build, test, and deploy applications reliably. Designs infrastructure and tooling to improve system availability, scalability, and performance. Implements observability through metrics, logs, and traces and responds to incidents to restore service quickly. Collaborates with development teams to remove deployment friction and enforce operational best practices. Continuously automates manual tasks and reduces sources of operational risk."
Cybersecurity,technology_engineering,"network security; application security; vulnerability assessment; penetration testing; threat modeling; risk assessment; SIEM; security monitoring; incident response; firewalls; IDS; IPS; encryption; secure coding; OWASP top 10; identity and access management; security policies; compliance; ISO 27001; SOC2; security awareness training","Protects systems, networks, and data from unauthorized access, misuse, and attacks. Identifies vulnerabilities through assessments, audits, and penetration testing and works with teams to remediate them. Designs and enforces security controls, policies, and monitoring mechanisms. Responds to security incidents, investigating root causes and improving defenses. Advises engineering and business stakeholders on secure architectures and regulatory compliance."
Network Engineering,technology_engineering,"routing; switching; tcp/ip; LAN; WAN; VLAN; VPN; network design; subnetting; firewalls; load balancers; wireless networking; QoS; DNS; DHCP; network monitoring; SNMP; troubleshooting; cisco devices; juniper devices; network documentation; capacity planning; security hardening","Designs, configures, and supports network infrastructure to provide reliable connectivity for users and systems. Installs and maintains routers, switches, firewalls, and wireless equipment. Monitors network performance and resolves outages and bottlenecks using diagnostic tools. Implements security controls such as segmentation, access lists, and VPNs. Plans capacity and upgrades to meet future demands and documents topology and configurations."
IT Support / System Administration,technology_engineering,"windows administration; linux administration; active directory; user management; hardware troubleshooting; software installation; helpdesk; ticketing systems; networking basics; VPN; remote access; backup and recovery; antivirus management; patch management; scripting basics; powershell; bash; monitoring tools; documentation; customer service","Provides technical support to end users and maintains servers, workstations, and IT services. Troubleshoots hardware and software issues, resolves tickets, and escalates complex problems when needed. Manages user accounts, permissions, and access across systems and networks. Performs routine maintenance such as backups, patching, and monitoring. Ensures systems are secure, up to date, and documented while communicating clearly with non technical users."
